Year,Country,SolarEnergy,WindEnergy,HydroEnergy,OtherRenewableEnergy,Electrical Generation (MWhe)
2000,USA,437.086107,1435.928598,1544.389701,319.3963179,3736.800724
2001,USA,240.4167764,402.7928764,398.7421407,439.7792656,1481.731059
2002,USA,641.0035106,1120.494351,334.9936403,486.4594335,2582.950935
2003,USA,849.1983767,476.0408439,609.1024443,132.5320294,2066.873694
2004,USA,373.8180187,882.1833611,1034.306532,181.0531131,2471.361025
2005,USA,650.6676053,381.3420188,796.6459025,214.8628295,2043.518356
2006,USA,510.4629858,1220.72875,639.4454297,281.4054973,2652.042663
2007,USA,633.173112,260.3855365,1332.826248,126.7358557,2353.120752
2008,USA,158.5464337,1433.551198,1941.574456,413.7788067,3947.450895
2009,USA,374.1523923,326.9737482,1463.196145,248.0686222,2412.390908
2010,USA,209.8344114,843.7299831,358.4604859,459.1941809,1871.219061
2011,USA,332.9019834,1061.27897,829.9088294,284.0306095,2508.120392
2012,USA,592.0392514,440.3107922,1948.293867,398.8097705,3379.453681
2013,USA,945.5490474,1363.275556,1316.429964,464.8434058,4090.097973
2014,USA,179.6432518,454.7777211,376.8863911,196.3986488,1207.706013
2015,USA,449.8095607,552.7537413,1708.853766,210.538997,2921.956065
2016,USA,352.8410587,905.5049081,539.5711825,410.9886413,2208.905791
2017,USA,167.0955793,1482.953018,1612.816108,139.4220567,3402.286761
2018,USA,104.9699054,1260.099857,1501.657485,378.0532256,3244.780473
2019,USA,794.143312,296.2580473,909.3917385,102.1410768,2101.934175
2020,USA,876.7930833,1010.287565,862.5266422,78.60125763,2828.208548
2021,USA,379.8840895,622.7383186,1540.330503,336.9008621,2879.853773
2022,USA,898.4914683,813.8794027,503.3102181,370.9601543,2586.641243
2023,USA,784.7065438,929.6603568,1610.644206,272.2080184,3597.219125
2000,China,570.4595464,755.8033239,343.2125155,98.55114215,1768.026528
2001,China,128.2862671,1027.333535,834.4051678,278.856811,2268.881781
2002,China,916.8098265,524.0798979,997.6509692,389.9980123,2828.538706
2003,China,305.9183489,300.0738828,792.57747,122.5495793,1521.119281
2004,China,936.7278871,1250.556493,1376.786386,442.1572656,4006.228032
2005,China,823.3048692,442.5410766,1817.350297,292.7040089,3375.900252
2006,China,826.6961396,1364.91869,840.6059075,99.52336604,3131.744103
2007,China,305.1416463,755.2401252,1690.625102,437.3287625,3188.335636
2008,China,106.2569175,863.9714934,1009.598705,149.9485147,2129.775631
2009,China,207.8788306,638.8997228,1902.946497,195.4413194,2945.166369
2010,China,566.9115596,1113.924647,918.170324,487.3019372,3086.308467
2011,China,966.2025654,527.3169846,1145.32246,185.3952394,2824.237249
2012,China,356.3564449,247.9530316,1336.259368,276.2055605,2216.774405
2013,China,146.3308761,562.2404035,1844.052006,157.8028508,2710.426137
2014,China,230.4053849,836.2885884,1975.605772,158.9248722,3201.224617
2015,China,704.9219927,1190.1055,703.9838248,377.6973569,2976.708674
2016,China,431.0048194,1021.99758,1377.000508,291.0986078,3121.101515
2017,China,181.260793,1285.893244,845.3261105,133.9333297,2446.413477
2018,China,136.6976274,968.1608261,1451.859415,57.46452302,2614.182392
2019,China,560.8837525,494.4445078,1396.793744,128.4648931,2580.586897
2020,China,721.8439643,702.7559502,1892.440981,111.8844249,3428.92532
2021,China,406.9597159,347.5155776,1871.979151,444.802709,3071.257154
2022,China,332.1474649,1057.97926,1689.27774,299.8403652,3379.24483
2023,China,576.6855205,514.4079782,458.2747053,453.7470911,2003.115295
2000,India,910.3762514,1023.031894,876.3506448,207.1443086,3016.903099
2001,India,753.360111,1366.243338,1808.046921,400.9439956,4328.594366
2002,India,677.8284815,309.3819545,574.768814,454.3493848,2016.328635
2003,India,645.7861537,211.9561671,472.5016229,348.5757961,1678.81974
2004,India,104.5554255,409.0504668,1232.847442,361.352839,2107.806173
2005,India,686.7651336,491.5501023,1510.704676,156.7620894,2845.782002
2006,India,392.8597283,1170.438827,1404.375928,432.1505347,3399.825018
2007,India,691.8516031,938.8011843,459.2471053,215.4721114,2305.372004
2008,India,338.6821309,517.1865364,1954.117943,226.8939761,3036.880586
2009,India,902.8418997,1020.480214,1651.179216,276.1866919,3850.688021
2010,India,619.2134962,840.273002,631.9130793,375.1034519,2466.503029
2011,India,352.6951262,231.6107564,1397.302903,129.6998057,2111.308591
2012,India,946.4127259,1440.10715,1855.269463,216.5714151,4458.360755
2013,India,113.9109549,1406.814131,1027.913052,484.9946686,3033.632807
2014,India,967.2579794,1308.912292,800.5631165,223.2939779,3300.027366
2015,India,866.0230044,611.9986067,588.1376694,300.5605681,2366.719849
2016,India,942.5392967,1104.838736,1269.103989,93.7294222,3410.211444
2017,India,653.506504,1487.070005,538.1428259,283.2483436,2961.967679
2018,India,889.6357647,1162.999203,1484.92676,366.1178378,3903.679565
2019,India,423.5420361,581.6693975,1675.913964,414.5510276,3095.676426
2020,India,880.3650867,1387.212718,1169.282078,275.6823326,3712.542216
2021,India,818.4656611,1044.95311,1493.343691,408.1067012,3764.869164
2022,India,901.0048076,639.3937039,938.4910195,92.29187293,2571.181404
2023,India,620.4521269,246.7249559,1091.516631,294.1900856,2252.883799
2000,Germany,357.8871269,968.0832387,351.8504249,66.80668494,1744.627475
2001,Germany,840.3405046,668.2478338,516.0028715,285.009467,2309.600677
2002,Germany,792.9941978,480.5673357,1358.913809,88.40635925,2720.881702
2003,Germany,146.5135491,890.761021,1219.079707,336.8434557,2593.197733
2004,Germany,753.4822004,1468.607703,1177.710592,195.3304128,3595.130909
2005,Germany,815.6675753,552.0819266,1046.251415,85.3053716,2499.306289
2006,Germany,122.8156691,1451.442939,1721.166205,363.1883927,3658.613206
2007,Germany,468.05765,425.2826161,565.9429725,162.6093042,1621.892543
2008,Germany,594.3039982,1128.9747,1422.33554,175.9702536,3321.584492
2009,Germany,959.3787526,1159.265992,1242.401889,325.2743358,3686.320969
2010,Germany,477.6400562,522.0502864,905.1535537,391.0307497,2295.874646
2011,Germany,112.9541398,350.8944327,378.2044914,68.32796104,910.3810249
2012,Germany,869.9145256,1114.755217,1106.095509,94.02537229,3184.790625
2013,Germany,542.4542876,815.513302,594.4431788,245.2332422,2197.644011
2014,Germany,458.654261,1000.605127,1379.659206,70.3868044,2909.305399
2015,Germany,437.1513532,1013.61789,1155.33164,435.4204285,3041.521312
2016,Germany,692.8242685,411.8147552,419.9668706,339.0886752,1863.694569
2017,Germany,123.8601795,961.5082557,1898.39141,308.96338,3292.723226
2018,Germany,449.3529336,1036.274684,1079.029914,295.5275552,2860.185087
2019,Germany,947.3183279,701.9334291,1934.023959,457.4077889,4040.683504
2020,Germany,276.2120213,290.1696911,471.3226023,58.19982154,1095.904136
2021,Germany,184.9986647,1087.908805,421.0207024,193.5390336,1887.467206
2022,Germany,860.3877799,230.2535165,1684.59642,176.8346486,2952.072365
2023,Germany,206.3483449,1105.758315,1369.20284,444.8624061,3126.171905
2000,UK,761.5639394,1244.52521,779.4587734,129.8477947,2915.395717
2001,UK,775.5532765,1248.885161,1983.858741,235.6779546,4243.975134
2002,UK,434.8162772,1209.336849,879.3660184,468.8407965,2992.359941
2003,UK,872.5714767,757.6922356,1576.480815,389.5442933,3596.288821
2004,UK,192.811482,1373.318779,1158.929033,421.9058597,3146.965154
2005,UK,388.0446409,1364.180197,961.6428538,54.87694317,2768.744635
2006,UK,914.8437788,318.6726798,842.8331839,477.5278852,2553.877528
2007,UK,955.5464322,945.4692546,1374.123261,251.8004849,3526.939432
2008,UK,363.8896945,627.263909,1443.281375,388.5685382,2823.003517
2009,UK,812.4211394,1226.503586,455.0503752,272.4891371,2766.464237
2010,UK,151.802884,914.387547,1050.601852,449.4668822,2566.259166
2011,UK,415.8235113,352.1871214,543.0858595,392.6797843,1703.776276
2012,UK,656.396257,331.459479,442.9815704,365.4361092,1796.273415
2013,UK,165.4867057,1268.418077,1500.611786,86.60695129,3021.12352
2014,UK,176.3539427,1482.631452,936.2603528,216.7889662,2812.034714
2015,UK,831.5196105,1431.423151,1976.201808,389.0201834,4628.164753
2016,UK,438.633627,308.5509317,1621.149757,301.2819124,2669.616228
2017,UK,481.7998083,1378.260701,489.0357199,271.6812969,2620.777526
2018,UK,110.2182803,809.2588346,395.7155687,103.4680623,1418.660746
2019,UK,205.7736221,1043.973393,1568.276295,312.5159443,3130.539254
2020,UK,965.9552936,687.3317534,785.7105467,440.8696077,2879.867201
2021,UK,301.2362547,1452.189301,320.662607,486.445472,2560.533635
2022,UK,138.8439208,1358.486048,1197.091885,496.8341583,3191.256012
2023,UK,166.4169083,920.0105697,1947.814311,285.3940299,3319.635818
2000,France,666.4587743,1104.473296,1072.71981,332.401136,3176.053016
2001,France,625.8828807,1371.505414,377.2588466,176.4334353,2551.080576
2002,France,955.3703357,1357.342919,1074.61648,329.059669,3716.389403
2003,France,349.6430647,444.5575076,1088.287288,209.0085026,2091.496363
2004,France,625.2905007,301.0550281,1956.471173,493.794835,3376.611537
2005,France,728.3455426,896.9252762,826.1969477,416.2077589,2867.675525
2006,France,716.2580553,411.4020211,1848.576214,420.1417593,3396.378049
2007,France,954.819922,1143.435361,1342.805833,238.2093663,3679.270482
2008,France,939.455635,1325.883056,376.8717392,61.86513852,2704.075569
2009,France,438.8170302,1253.71933,1978.36942,117.687601,3788.593381
2010,France,634.7176438,695.1581136,1948.854476,428.9535154,3707.683749
2011,France,854.4958342,809.3011077,1005.193154,173.0331824,2842.023278
2012,France,150.737947,1324.139089,1681.931716,499.872953,3656.681705
2013,France,996.9731534,922.0612173,1607.278606,475.1445784,4001.457555
2014,France,864.6826516,521.5525323,1065.92503,108.1217368,2560.281951
2015,France,958.6459245,988.0270248,688.6927694,352.265308,2987.631027
2016,France,656.3154164,665.6115334,493.0479067,352.207938,2167.182795
2017,France,568.2769308,1204.013909,1184.277952,433.4816751,3390.050467
2018,France,596.7161549,929.219363,1790.311125,231.5672898,3547.813932
2019,France,220.6137056,237.4174792,1583.733335,329.1392981,2370.903818
2020,France,733.6717913,476.85341,531.8315085,56.54509955,1798.901809
2021,France,415.5288029,966.8929929,966.8148767,246.8637149,2596.100387
2022,France,913.742825,652.7321071,1173.782132,402.6438557,3142.900919
2023,France,456.8885041,1008.71271,1766.018305,477.2842806,3708.9038
2000,Brazil,232.3661328,1404.563913,1136.597698,166.2099747,2939.737719
2001,Brazil,513.2221806,1474.042348,1137.45076,197.9382246,3322.653513
2002,Brazil,670.0607689,512.1893044,428.9676578,107.9958749,1719.213606
2003,Brazil,215.2412551,397.4735016,536.0061935,338.3936352,1487.114585
2004,Brazil,263.692076,649.3674683,1824.540297,263.2827381,3000.882579
2005,Brazil,700.8019647,424.0158326,626.891332,68.39087732,1820.100007
2006,Brazil,252.0415568,562.1674407,600.9178233,89.91614019,1505.042961
2007,Brazil,208.572284,799.0123984,650.7673213,213.9214375,1872.273441
2008,Brazil,553.0755438,1097.513277,366.8306377,409.7346795,2427.154138
2009,Brazil,665.1103505,306.2867415,1785.083661,464.3925802,3220.873333
2010,Brazil,154.9701639,559.9409426,1670.542176,386.7168607,2772.170143
2011,Brazil,266.0689174,472.1541203,929.8025747,268.0353433,1936.060956
2012,Brazil,656.4292944,679.5877314,1086.309017,386.3619222,2808.687965
2013,Brazil,133.0148826,528.1680276,1512.694296,452.843077,2626.720283
2014,Brazil,560.5096979,891.7475308,482.1924193,251.3355651,2185.785213
2015,Brazil,579.3555398,515.2116547,757.7134926,219.7778734,2072.058561
2016,Brazil,118.064078,618.7029153,659.4616119,197.3738085,1593.602414
2017,Brazil,207.7859186,1357.685465,1309.107171,355.5960436,3230.174598
2018,Brazil,810.2541147,847.9748586,447.7644897,291.6979438,2397.691407
2019,Brazil,628.1570062,1169.071316,1033.821229,107.4111363,2938.460688
2020,Brazil,355.3983152,672.0069853,1398.05931,306.8502371,2732.314848
2021,Brazil,420.4870533,1482.469823,1329.817193,156.7520563,3389.526126
2022,Brazil,191.6042254,398.7168809,718.1281383,122.306618,1430.755863
2023,Brazil,267.9103216,570.6237193,594.735112,453.5444411,1886.813594
2000,Canada,172.2103711,881.8648064,997.6746059,492.0703776,2543.820161
2001,Canada,200.835012,717.2122788,1948.099737,439.4782067,3305.625234
2002,Canada,835.3648639,535.2736752,590.5088986,350.889449,2312.036887
2003,Canada,936.4383902,923.7917609,1271.741572,175.9905921,3307.962315
2004,Canada,792.5436399,443.1568731,850.2547019,241.4463974,2327.401612
2005,Canada,556.8493408,515.1326521,495.2226021,324.7790191,1891.983614
2006,Canada,359.7674979,955.6096878,562.416616,266.5130458,2144.306848
2007,Canada,579.3304893,267.3705979,872.2272729,110.4866046,1829.414965
2008,Canada,157.0374734,1486.948302,848.0015365,414.4435006,2906.430813
2009,Canada,329.1765893,1085.953539,1592.387362,318.0374333,3325.554923
2010,Canada,524.4185697,735.3931884,893.0760531,468.2881149,2621.175926
2011,Canada,847.557467,1454.534984,511.3052799,378.8903638,3192.288095
2012,Canada,944.5064111,435.602986,413.0436545,383.5042922,2176.657344
2013,Canada,617.0258019,1294.37741,537.6130403,407.8702903,2856.886542
2014,Canada,281.464588,412.7527257,579.2518565,416.5586241,1690.027794
2015,Canada,698.6774986,879.9850522,910.011823,444.7402434,2933.414617
2016,Canada,453.2005967,1261.579271,1046.529345,219.6249932,2980.934206
2017,Canada,516.4118071,591.7912364,1570.935946,276.2241755,2955.363165
2018,Canada,308.9914256,1369.446945,952.6150763,294.5987875,2925.652235
2019,Canada,915.8248999,1011.509395,498.7266692,472.9244556,2898.985419
2020,Canada,664.9372478,635.3772991,536.7625235,407.3113352,2244.388406
2021,Canada,658.0654803,893.4994196,1819.617391,404.8687451,3776.051036
2022,Canada,236.5073918,605.2386881,722.4315377,384.7758317,1948.953449
2023,Canada,130.1791913,940.8565903,1596.179766,444.5445365,3111.760084
2000,Australia,407.8735738,1267.634496,488.0739528,430.9035313,2594.485554
2001,Australia,214.7397961,716.4734777,1655.402122,117.4628423,2704.078238
2002,Australia,306.3262557,1138.928339,1524.062112,338.5164348,3307.833142
2003,Australia,724.5536,905.5417764,728.0584001,205.5631971,2563.716974
2004,Australia,263.4379451,1380.98573,1291.766051,230.3831375,3166.572864
2005,Australia,515.8052233,1431.468341,560.6973853,313.8034244,2821.774374
2006,Australia,555.299811,994.8905061,330.7873125,442.455759,2323.433389
2007,Australia,938.9064542,934.6731387,1484.306401,465.1247215,3823.010715
2008,Australia,736.5147709,398.3007558,1279.690212,323.0217709,2737.52751
2009,Australia,481.7176042,1157.377506,1888.423925,466.5058308,3994.024866
2010,Australia,505.7554343,347.2094596,1974.230038,427.5041389,3254.699071
2011,Australia,212.1964131,1397.094447,1778.823816,283.4771257,3671.591802
2012,Australia,632.1478922,718.703515,393.094786,200.8387587,1944.784952
2013,Australia,822.5681037,206.0216299,866.9485919,229.1759121,2124.714238
2014,Australia,583.6560426,1395.812301,888.7881904,206.1289409,3074.385475
2015,Australia,763.7511233,787.8833232,681.828199,253.5977823,2487.060428
2016,Australia,226.7713183,429.3030825,1147.225214,238.5164523,2041.816067
2017,Australia,923.361311,671.1120689,1287.000195,334.5189296,3215.992505
2018,Australia,111.7850109,1062.598584,602.6611437,482.4816429,2259.526381
2019,Australia,233.796455,739.0113608,445.0944357,498.5934133,1916.495665
2020,Australia,551.9755093,974.0005225,414.0300116,387.4822117,2327.488255
2021,Australia,288.9150338,1367.470576,648.7373888,135.8094743,2440.932473
2022,Australia,132.8947011,813.6870286,1260.229927,79.56888774,2286.380544
2023,Australia,797.974855,789.2754852,1191.463458,248.3432361,3027.057034
2000,Japan,460.6867548,927.5324307,563.9084181,131.8676587,2083.995262
2001,Japan,875.6070589,1429.950101,934.6258377,171.8351029,3412.0181
2002,Japan,679.5995889,731.3544224,343.1568046,120.2686688,1874.379485
2003,Japan,744.375006,1056.601124,346.0631873,149.8874729,2296.926791
2004,Japan,307.9673169,1073.460567,333.5079142,96.84886189,1811.78466
2005,Japan,819.9244768,432.1080607,1409.668383,157.1822515,2818.883172
2006,Japan,189.4972535,516.1238483,1527.853784,435.0634106,2668.538297
2007,Japan,847.1978781,716.3385885,1435.744732,142.2429329,3141.524132
2008,Japan,363.8329572,1365.236564,322.10327,88.47883888,2139.65163
2009,Japan,287.0976296,234.491865,608.4402397,312.3687024,1442.398437
2010,Japan,479.2820955,1360.473224,1689.654055,203.8178083,3733.227183
2011,Japan,333.4810901,693.6001306,1303.501402,170.6286384,2501.211261
2012,Japan,661.7340171,732.2351478,1238.480207,246.2569381,2878.70631
2013,Japan,365.0191836,1432.989299,1598.12985,113.0509291,3509.189262
2014,Japan,881.6211783,833.6605577,1820.738786,409.9348652,3945.955387
2015,Japan,482.692154,229.2101008,756.751511,293.7353966,1762.389162
2016,Japan,670.1303978,535.2539911,536.9053259,425.7186066,2168.008321
2017,Japan,985.9619626,883.397237,591.8547859,172.5382969,2633.752283
2018,Japan,116.5516089,1388.588449,500.1768409,309.432414,2314.749312
2019,Japan,346.6496986,920.4314033,1407.41466,423.3838117,3097.879574
2020,Japan,285.7791446,214.2945773,532.7055711,455.0083888,1487.787682
2021,Japan,886.5010698,976.6370328,1320.878663,349.2665035,3533.283269
2022,Japan,257.8341508,1388.73553,1011.909892,222.4123377,2880.89191
2023,Japan,567.0259348,261.0557568,582.6817269,382.1151274,1792.878546